,smiles,Hepatobiliary disorders,Metabolism and nutrition disorders,Product issues,Eye disorders,Investigations,Musculoskeletal and connective tissue disorders,Gastrointestinal disorders,Social circumstances,Immune system disorders,Reproductive system and breast disorders,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",General disorders and administration site conditions,Endocrine disorders,Surgical and medical procedures,Vascular disorders,Blood and lymphatic system disorders,Skin and subcutaneous tissue disorders,"Congenital, familial and genetic disorders",Infections and infestations,"Respiratory, thoracic and mediastinal disorders",Psychiatric disorders,Renal and urinary disorders,"Pregnancy, puerperium and perinatal conditions",Ear and labyrinth disorders,Cardiac disorders,Nervous system disorders,"Injury, poisoning and procedural complications"
109,O=C(O)CCNC(=O)C1:C:C:C(N/N=C2\C=CC(=O)C(C(=O)O)=C2):C:C:1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1
110,O=C(O)C1=C/C(=N/NC2:C:C:C(O):C(C(=O)O):C:2)C=CC1=O,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0
111,COC1:C:C2:C(:C(OC):C:1OC)C1:C:C:C(OC):C(=O):C:C:1C(NC(C)=O)CC2,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,1,0
112,CC1C=CC=CCCC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)C(O)CCC(O)CC(O)CC(O)CC(=O)OC(C)C(C)C1O)CC(O)C2C(=O)O,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
113,C[C@H]1CN(C[C@H](CC2:C:C:C:C:C:2)C(=O)NCC(=O)O)CC[C@@]1(C)C1:C:C:C:C(O):C:1.O.O,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
114,CCCCCC(O)C=CC1C(O)CC(=O)C1CC=CCCCC(=O)O,0,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1
115,CCCCCC(O)C=CC1C(O)CC(=O)C1CCCCCCC(=O)O,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1
116,CCCCC(C)(O)CC=C[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC,0,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
117,CCCCC(C)(C)C(O)C=CC1C(O)CC(=O)C1CCCCC=CC(=O)OC,0,0,0,0,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0
118,CC1:O:N:C(C2:C(Cl):C:C:C:C:2Cl):C:1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)[O-],1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1
119,CC1:O:N:C(C2:C(F):C:C:C:C:2Cl):C:1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,1
120,CC1:O:N:C(C2:C:C:C:C:C:2):C:1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)[O-],1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0
121,COC1:C(C):C2:C(:C(O):C:1CC=C(C)CCC(=O)O)C(=O)OC2,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
122,CON=C(C(=O)NC1C(=O)N2C(C(=O)[O-])=C(C[N+]3(C)CCCC3)CSC12)C1:C:S:C(N):N:1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,1
123,CC1:C:C:C(=O):N(C2:C:C:C:C:C:2):C:1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,1
124,C1:C:O:C(CNC2:N:C:N:C3:N:C:[NH]:C:2:3):C:1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
125,CCN[C@H]1CN(CCCOC)S(=O)(=O)C2:S:C(S(N)(=O)=O):C:C:21,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1
126,NS(=O)(=O)C1:C:C2:C(:C:C:1C(F)(F)F)NC(CC1:C:C:C:C:C:1)NS2(=O)=O,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1
127,CC1:[NH]:C:N:C:1CN1CCC2:C(:C3:C:C:C:C:C:3:N:2C)C1=O,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,1
128,CC1(C)N=C(N)N=C(N)N1OCCCOC1:C:C(Cl):C(Cl):C:C:1Cl.Cl,1,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,1,1,1
129,CCC(C)C(NC(=O)C(CCC(=O)O)NC(=O)C(CO)NC(=O)C(NC(=O)C(N)CO)C(C)C)C(=O)NC(CCC(N)=O)C(=O)NC(CC(C)C)C(=O)NC(CCSC)C(=O)NC(CC1:C:[NH]:C:N:1)C(=O)NC(CC(N)=O)C(=O)NC(CC(C)C)C(=O)NCC(=O)NC(CCCCN)C(=O)NC(CC1:C:[NH]:C:N:1)C(=O)NC(CC(C)C)C(=O)NC(CC(N)=O)C(=O)NC(CO)C(=O)NC(CCSC)C(=O)NC(CCC(=O)O)C(=O)NC(CCCNC(=N)N)C(=O)NC(C(=O)NC(CCC(=O)O)C(=O)NC(CC1:C:[NH]:C2:C:C:C:C:C:1:2)C(=O)NC(CC(C)C)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(CC(C)C)C(=O)NC(CCC(N)=O)C(=O)NC(CC(=O)O)C(=O)NC(C(=O)NC(CC1:C:[NH]:C:N:1)C(=O)NC(CC(N)=O)C(=O)NC(CC1:C:C:C:C:C:1)C(=O)O)C(C)C)C(C)C,0,1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1
130,N#CC1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
131,C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)OC(O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
132,CNC(=C[N+](=O)[O-])NCCSCC1:C:C:C(CN(C)C):O:1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0
133,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C.C[C@]12CC[C@@H]3C4:C:C:C(O):C:C:4CC[C@H]3[C@@H]1CC[C@@H]2O.C[C@]12CC[C@@H]3C4:C:C:C(O):C:C:4CC[C@H]3[C@@H]1C[C@@H](O)[C@@H]2O,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0
134,CC1:C:C(C(=O)NNCC2:C:C:C:C:C:2):N:O:1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1
135,O=C([O-])C1:C:C(=O):C2:C(OCC(O)COC3:C:C:C:C4:O:C(C(=O)[O-]):C:C(=O):C:3:4):C:C:C:C:2:O:1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1
136,CCOCCN1:C(N2CCCN(C)CC2):N:C2:C:C:C:C:C:2:1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
137,O=C(O)C1:C:C(C2:C:C:C(F):C:C:2F):C:C:C:1O,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1
138,CC(C(=O)O)C1:C:C:C(C2:C:C:C:C:C:2):C(F):C:1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1
139,C[C@]12CC[C@@H]3C4:C:C:C(O):C:C:4CC[C@H]3[C@@H]1CC[C@@H]2O.C[C@]12CC[C@@H]3C4:C:C:C(O):C:C:4CC[C@H]3[C@@H]1C[C@@H](O)[C@@H]2O,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0
140,CCCCCC(O)C=CC1C(O)CC(O)C1CC=CCCCC(=O)O,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1
141,CCCCCCCC(=O)CCC1C(O)CC(O)C1CC=CCCCC(=O)OC(C)C,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1
142,CCCCCCCC(=O)CCC1C(O)CC(O)C1CC=CCCCC(=O)O,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1
143,CCCCC[C@H](O)C=C[C@H]1[C@H](O)C[C@H](O)[C@@H]1CC=CCCCC(=O)O.NC(CO)(CO)CO,0,1,0,1,1,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1
144,CCCCC[C@](C)(O)C=C[C@H]1[C@H](O)C[C@H](O)[C@@H]1CC=CCCCC(=O)O,0,0,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,1
145,CC1:C:C:S:C:1C(=CCCN1CCCC(C(=O)O)C1)C1:S:C:C:C:1C,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
146,C1:C:C:C2:C(:C:1)CCCC2C1=NCCN1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0
147,COC1:C:C:C(C2SC3:C:C:C:C:C:3N(CC[NH+](C)C)C(=O)C2OC(C)=O):C:C:1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1
148,CN(CC1:C:C(Br):C:C(Br):C:1N)C1CCCCC1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
149,O=C(NCC1CN(C2:C:C:C(N3CCOCC3=O):C:C:2)C(=O)O1)C1:C:C:C(Cl):S:1,1,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1
150,CCC1:C:C2:C(:C:C:1CC)CC(NCC(O)C1:C:C:C(O):C3:[NH]:C(=O):C:C:C:1:3)C2,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0
151,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](C(=O)O)C3:C:C:S:C:3)C(=O)N2[C@H]1C(=O)O.O=C(O)[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1
152,C=CCN1CC(C(=O)N(CCCN(C)C)C(=O)NCC)CC2C3:C:C:C:C4:[NH]:C:C(:C:3:4)CC21,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1
153,CCCN1CC(CSC)CC2C3:C:C:C:C4:[NH]:C:C(:C:3:4)CC21,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
154,CC1CC2:C:C:C:C:C:2N1NC(=O)C1:C:C:C(Cl):C(S(N)(=O)=O):C:1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
155,NC1:N:C(=O):C2:N:C:N(COCCO):C:2:[NH]:1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1
156,NC1:N:C(=O):C2:N:C:N(COC(CO)CO):C:2:[NH]:1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1
157,NC1:N:C(=O):C2:N:C:N(CCC(CO)CO):C:2:[NH]:1,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,1,1,1,0,0,1,1,1
158,CC(C)C(N)C(=O)OCCOCN1:C:N:C2:C(=O):N:C(N):[NH]:C:2:1,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1
159,CC(C)[C@H](N)C(=O)OCC(CO)OCN1:C:N:C2:C(=O):N:C(N):[NH]:C:2:1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1
160,CC(=O)NC1:C:C:C(O):C:C:1.CN(C)CCOC(C)(C1:C:C:C:C:C:1)C1:C:C:C:C:N:1.COC1:C:C:C2:C3:C:1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314.O=C(O)CCC(=O)O.O=P(O)(O)O,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1
161,CC1(C)SC(C(NC(=O)CC2:C:C:C:C:C:2)C(=O)NCCCCCC(=O)O)NC1C(=O)O,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
162,CC1(C)NC(=O)N(C2:C:C:C([N+](=O)[O-]):C(C(F)(F)F):C:2)C1=O,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,0
163,N.N.O=C(O)C1(C(=O)O)CCC1.[Pt],1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1
164,CCC1(C)CC(=O)NC1=O,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0
165,CC1:C(O):C(=O):C:C:N:1C,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1
166,O=C1C([O-])=C([O-])O[C@@H]1[C@@H](O)CO.[Ca+2],0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
167,O=C(C1:C:C:C(OCCN2CCCCC2):C:C:1)C1:C(C2:C:C:C(O):C:C:2):S:C2:C:C(O):C:C:C:1:2,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0
168,O=[N+]([O-])O[C@@H]1CO[C@@H]2[C@@H](O)CO[C@H]12,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0
169,O=[N+]([O-])OC1COC2C(O[N+](=O)[O-])COC12,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0
170,O[C@H]1CO[C@@H]2[C@H](O)CO[C@H]12,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0
171,C=CC1CN2CCC1CC2C(O)C1:C:C:N:C2:C:C:C(OC):C:C:1:2,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
172,CCC(=O)O[C@](CC1:C:C:C:C:C:1)(C1:C:C:C:C:C:1)[C@H](C)CN(C)C,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1
173,CN(C)CCCC1(C2:C:C:C(F):C:C:2)OCC2:C:C(C#N):C:C:C:21,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
174,C1:C:C:C(CNCCNCC2:C:C:C:C:C:2):C:C:1.CC1(C)S[C@@H]2[C@H](NC(=O)CC3:C:C:C:C:C:3)C(=O)N2[C@H]1C(=O)O.CC1(C)S[C@@H]2[C@H](NC(=O)CC3:C:C:C:C:C:3)C(=O)N2[C@H]1C(=O)O,0,0,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1
175,NS(=O)(=O)CC1:N:O:C2:C:C:C:C:C:1:2,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
176,C[C@H](O)C1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)N(C)C)C3)[C@H](C)C12.O.O.O,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1
177,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](CNS(N)(=O)=O)C3)[C@H](C)[C@H]12,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1
178,CC(C)(C)C1:C:C(C(C)(C)C):C(NC(=O)C2:C:[NH]:C3:C:C:C:C:C:3:C:2=O):C:C:1O,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0
179,CC1:C:C(C2CCCCC2):N(O):C(=O):C:1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
180,C#CCNC1CCC2:C:C:C:C:C:21,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1
181,CC(=O)O.NC(N)=NCCCC(NC(=O)[C@H](N)CCCN=C(N)N)C(=O)N1CCCC1C(=O)N1C[C@H](O)CC1C(=O)NCC(=O)N[C@@H](CC1:C:C:C:S:1)C(=O)N[C@@H](CO)C(=O)N1CC2:C:C:C:C:C:2CC1C(=O)N1C(C(=O)N[C@@H](CCCN=C(N)N)C(=O)O)C[C@@H]2CCCC[C@@H]21,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
182,O=C(/C=C/C1:C:C:C:C(S(=O)(=O)NC2:C:C:C:C:C:2):C:1)NO,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1
183,CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@H](CC1:C:C:C:C:C:1)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H](CC1:C:N:C:[NH]:1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC1:C:C:C:C:C:1)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)[C@H](CS)NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CS)NC(=O)[C@@H](N)CCCCN)[C@@H](C)O)[C@@H](C)O)[C@@H](C)O)C(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H](C(=O)N[C@@H](CC1:C:C:C(O):C:C:1)C(N)=O)[C@@H](C)O)C(C)C)[C@@H](C)O,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
184,NCCC1:C:N:C:[NH]:1,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0
185,CN=C(NC#N)NCCSCC1:N:C:[NH]:C:1C,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1
186,O=P(O)(O)C(O)(CN1:C:C:N:C:1)P(=O)(O)O,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1
187,CC1:N:C:C([N+](=O)[O-]):N:1CCO,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1
188,CCS(=O)(=O)CCN1:C([N+](=O)[O-]):C:N:C:1C,0,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1
189,CC12CC(=CO)C(=O)CC1CCC1C2CCC2(C)C1CCC2(C)O,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0
190,CC1:C(C2:C:C:C:C:C:2):O:C2:C(C(=O)OCCN3CCCCC3):C:C:C:C:2:C:1=O,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0
191,C=C(C1:C:C:C(C(=O)O):C:C:1)C1:C:C2:C(:C:C:1C)C(C)(C)CCC2(C)C,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1
192,NC1=N/C(=C(/N=O)C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(/C=C4\CCN([C@@H]5CCNC5)C4=O)CS[C@H]23)NS1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1
193,CC1:C:C(C=CC#N):C:C(C):C:1NC1:C:C:N:C(NC2:C:C:C(C#N):C:C:2):N:1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1
194,COC1:C:C2:C(:C:C:1OC)C(=O)C(CC1CCN(CC3:C:C:C:C:C:3)CC1)C2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
195,CC(C)CN(C[C@@H](OP(=O)([O-])[O-])[C@H](CC1:C:C:C:C:C:1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)C1:C:C:C(N):C:C:1.[Ca+2],0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,1,0
196,CC(C)CN(CC(O)C(CC1:C:C:C:C:C:1)NC(=O)OC1CCOC1)S(=O)(=O)C1:C:C:C(N):C:C:1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1
197,CN1:C:C:[NH]:C:1=S,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0
198,CCOC(=O)N1:C:C:N(C):C:1=S,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1
199,NC(N)=NC1:N:C(CSCCC(N)=NS(N)(=O)=O):C:S:1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1
200,CNC(=C[N+](=O)[O-])NCCSCC1:C:S:C(CN(C)C):N:1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1
201,NC(=O)CCC1NC(=O)C(CC2:C:C:C:C:C:2)NC(=O)C(CC2:C:C:C(O):C:C:2)NC(=O)C(N)CSSCC(C(=O)N2CCCC2C(=O)NC(CCCN=C(N)N)C(=O)NCC(N)=O)NC(=O)C(CC(N)=O)NC1=O.NCCCCC(NC(=O)C1CCCN1C(=O)C1CSSCC(N)C(=O)NC(CC2:C:C:C(O):C:C:2)C(=O)NC(CC2:C:C:C:C:C:2)C(=O)NC(CCC(N)=O)C(=O)NC(CC(N)=O)C(=O)N1)C(=O)NCC(N)=O,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,1,1,0
202,OCCN1CCN(CCCN2C3:C:C:C:C:C:3SC3:C:C:C(C(F)(F)F):C:C:32)CC1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1
203,CCCCCCCCCC(=O)OCCN1CCN(CCCN2C3:C:C:C:C:C:3SC3:C:C:C(C(F)(F)F):C:C:32)CC1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1
204,OCCN1CCN(CCCN2C3:C:C:C:C:C:3SC3:C:C:C(Cl):C:C:32)CC1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1
205,CN1CCN(CCCN2C3:C:C:C:C:C:3SC3:C:C:C(Cl):C:C:32)CC1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1
206,CN1CCN(CCCN2C3:C:C:C:C:C:3SC3:C:C:C(C(F)(F)F):C:C:32)CC1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1
207,CCN(CC)C(=O)/C(C#N)=C/C1:C:C(O):C(O):C([N+](=O)[O-]):C:1.C[C@@](CC1:C:C:C(O):C(O):C:1)(NN)C(=O)O.N[C@@H](CC1:C:C:C(O):C(O):C:1)C(=O)O,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1
208,CON=C(C(=O)NC1C(=O)N2C(C(=O)[O-])=C(CSC3:N:C(=O):C([O-]):N:N:3C)CSC12)C1:C:S:C(N):N:1,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1
209,CC(C)OC(=O)C(C)(C)OC1:C:C:C(C(=O)C2:C:C:C(Cl):C:C:2):C:C:1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
210,NC1:C(CC(=O)O):C:C:C:C:1C(=O)C1:C:C:C(Br):C:C:1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
211,NC(=O)CC1:C:C:C:C(C(=O)C2:C:C:C:C:C:2):C:1N,0,1,0,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0
212,CC(C(=O)O)C1:C:C:C:C(C(=O)C2:C:C:C:C:C:2):C:1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1
213,CC1:C:C:C(C(=O)C2:C:C(O):C(O):C([N+](=O)[O-]):C:2):C:C:1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
214,CC(C)(OC1:C:C:C(C(=O)C2:C:C:C(Cl):C:C:2):C:C:1)C(=O)O,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1
215,CC(C)CN1:C:N:C2:C(N):N:C3:C:C:C:C:C:3:C:2:1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
